ID_PROJETO;CD_TALHAO;INDEX;nm_parcela;TIPO_INSTA;TIPO_ATUAL;Mes_Prog
6219;6;6219006;1;30 dias;30 dias;Novembro
6219;6;6219006;2;30 dias;30 dias;Novembro
6219;6;6219006;3;30 dias;30 dias;Novembro
6219;6;6219006;4;30 dias;30 dias;Novembro
6219;6;6219006;5;30 dias;30 dias;Novembro
6219;6;6219006;6;30 dias;30 dias;Novembro
6219;6;6219006;7;30 dias;30 dias;Novembro
6219;6;6219006;8;30 dias;30 dias;Novembro
6219;6;6219006;9;30 dias;30 dias;Novembro
6219;6;6219006;10;30 dias;30 dias;Novembro
6219;6;6219006;11;30 dias;30 dias;Novembro
6219;6;6219006;12;30 dias;30 dias;Novembro
6219;6;6219006;13;30 dias;30 dias;Novembro
6219;6;6219006;14;30 dias;30 dias;Novembro
6219;6;6219006;15;30 dias;30 dias;Novembro
6219;6;6219006;16;30 dias;30 dias;Novembro
6219;11;6219011;1;30 dias;30 dias;Novembro
6219;11;6219011;2;30 dias;30 dias;Novembro
6219;11;6219011;3;30 dias;30 dias;Novembro
6219;11;6219011;4;30 dias;30 dias;Novembro
6219;11;6219011;5;30 dias;30 dias;Novembro
6219;11;6219011;6;30 dias;30 dias;Novembro
6219;11;6219011;7;30 dias;30 dias;Novembro
6219;11;6219011;8;30 dias;30 dias;Novembro
6219;11;6219011;9;30 dias;30 dias;Novembro
6219;11;6219011;10;30 dias;30 dias;Novembro
6219;11;6219011;11;30 dias;30 dias;Novembro
6219;11;6219011;12;30 dias;30 dias;Novembro
6219;11;6219011;13;30 dias;30 dias;Novembro
6219;11;6219011;14;30 dias;30 dias;Novembro
6219;11;6219011;15;30 dias;30 dias;Novembro
6219;11;6219011;16;30 dias;30 dias;Novembro
6219;11;6219011;17;30 dias;30 dias;Novembro
6219;11;6219011;18;30 dias;30 dias;Novembro
6219;11;6219011;19;30 dias;30 dias;Novembro
6219;11;6219011;20;30 dias;30 dias;Novembro
6219;11;6219011;21;30 dias;30 dias;Novembro
6320;13;6320013;1;30 dias;30 dias;Novembro
6320;13;6320013;2;30 dias;30 dias;Novembro
6320;13;6320013;3;30 dias;30 dias;Novembro
6320;13;6320013;4;30 dias;30 dias;Novembro
6320;13;6320013;5;30 dias;30 dias;Novembro
6320;13;6320013;6;30 dias;30 dias;Novembro
6320;13;6320013;7;30 dias;30 dias;Novembro
6320;13;6320013;8;30 dias;30 dias;Novembro
6320;13;6320013;9;30 dias;30 dias;Novembro
6320;13;6320013;10;30 dias;30 dias;Novembro
6320;13;6320013;11;30 dias;30 dias;Novembro
6329;2;6329002;1;30 dias;30 dias;Novembro
6329;2;6329002;2;30 dias;30 dias;Novembro
6329;2;6329002;3;30 dias;30 dias;Novembro
6329;2;6329002;4;30 dias;30 dias;Novembro
6329;2;6329002;5;30 dias;30 dias;Novembro
6329;2;6329002;6;30 dias;30 dias;Novembro
6329;2;6329002;7;30 dias;30 dias;Novembro
6329;2;6329002;8;30 dias;30 dias;Novembro
6329;2;6329002;9;30 dias;30 dias;Novembro
6329;2;6329002;10;30 dias;30 dias;Novembro
6329;2;6329002;11;30 dias;30 dias;Novembro
6329;2;6329002;12;30 dias;30 dias;Novembro
6329;2;6329002;13;30 dias;30 dias;Novembro
6329;2;6329002;14;30 dias;30 dias;Novembro
6333;13;6333013;1;30 dias;30 dias;Novembro
6333;13;6333013;2;30 dias;30 dias;Novembro
6333;13;6333013;3;30 dias;30 dias;Novembro
6333;14;6333014;1;30 dias;30 dias;Novembro
6333;14;6333014;2;30 dias;30 dias;Novembro
6333;14;6333014;3;30 dias;30 dias;Novembro
6333;14;6333014;4;30 dias;30 dias;Novembro
6333;14;6333014;5;30 dias;30 dias;Novembro
6333;14;6333014;6;30 dias;30 dias;Novembro
6333;14;6333014;7;30 dias;30 dias;Novembro
6333;14;6333014;8;30 dias;30 dias;Novembro
